epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
116,2975.47,0.49561,0.54962,0.85805,0.94169,0.81516,0.91215,0.90512,0.81348,0.57348,0.68498,0.91338,9.17498e-05,9.17498e-05,9.17498e-05
117,3000.92,0.48096,0.54673,0.84995,0.92294,0.8545,0.94234,0.93534,0.83129,0.57879,0.68529,0.91425,9.06954e-05,9.06954e-05,9.06954e-05
118,3026.35,0.4811,0.56007,0.84521,0.91241,0.83688,0.90619,0.8991,0.79838,0.56803,0.74526,0.90655,8.96411e-05,8.96411e-05,8.96411e-05
119,3052,0.46778,0.54069,0.84638,0.92736,0.81993,0.91511,0.90712,0.81101,0.56933,0.7194,0.91519,8.85867e-05,8.85867e-05,8.85867e-05
120,3077.35,0.48361,0.54025,0.84683,0.938,0.80198,0.89383,0.88642,0.77485,0.62028,0.76722,0.93099,8.75324e-05,8.75324e-05,8.75324e-05
121,3102.8,0.50619,0.55056,0.86255,0.92813,0.79908,0.88348,0.87598,0.76728,0.60692,0.73108,0.92665,8.6478e-05,8.6478e-05,8.6478e-05
122,3128.12,0.49627,0.54289,0.86022,0.89869,0.8257,0.89412,0.88625,0.79288,0.57371,0.69388,0.9086,8.54237e-05,8.54237e-05,8.54237e-05
123,3153.59,0.48633,0.55886,0.84749,0.92561,0.82262,0.90277,0.89511,0.80427,0.55096,0.65904,0.90451,8.43693e-05,8.43693e-05,8.43693e-05
124,3179,0.47695,0.55578,0.85557,0.88984,0.82163,0.88542,0.87708,0.79317,0.56459,0.68966,0.91037,8.33149e-05,8.33149e-05,8.33149e-05
125,3204.49,0.47599,0.52006,0.85306,0.85287,0.80008,0.89852,0.89005,0.80378,0.55466,0.64199,0.90705,8.22606e-05,8.22606e-05,8.22606e-05
126,3229.98,0.4814,0.52688,0.84585,0.87005,0.81167,0.8928,0.88404,0.79155,0.57911,0.68672,0.91634,8.12062e-05,8.12062e-05,8.12062e-05
127,3255.43,0.47138,0.54057,0.85265,0.88931,0.80973,0.89416,0.8861,0.79447,0.59643,0.73599,0.9181,8.01519e-05,8.01519e-05,8.01519e-05
